Tab.1.10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung, Erwerbstätigkeit und Bruttoinlandsprodukt (regionale Strukturdaten) 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;2000;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;1991;2000;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Kategorie;Land;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
Bevölkerung 2);Saarland;1074,5;1062,2;1019,7;1011,9;1004,8;999,9;997,1;995,5;995;999,5;1005,4;1006,6;1005,3;1003,5;1001,9;1001,3;1006,6;1013;1013,1;1009,6;1,3;1,3;1,3;1,3;1,3;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2
Bevölkerung 2);Sachsen;4719,5;4402;4133,2;4103,5;4077,9;4060,2;4051,2;4045,1;4044,9;4060,5;4069,4;4063,5;4057,8;4049;4034;4014,1;4027;4052,3;4048,6;4028,8;5,9;5,4;5,1;5,1;5,1;5,1;5;5;5;5;5;5;4,9;4,9;4,9;4,9;4,9;4,9;4,8;4,8
Bevölkerung 2);Sachsen-Anhalt;2847,7;2614;2363,9;2334;2308,8;2287,1;2267,2;2249,3;2235;2232,1;2228,1;2212,8;2195,2;2177,1;2159,1;2141,2;2141,4;2147,4;2140,1;2126,2;3,6;3,2;2,9;2,9;2,9;2,8;2,8;2,8;2,8;2,7;2,7;2,7;2,7;2,6;2,6;2,6;2,6;2,6;2,6;2,5
Bevölkerung 2);Schleswig-Holstein;2636,1;2764,7;2805,3;2801,2;2799,7;2801,2;2804,7;2811,8;2823,6;2843,7;2866,8;2879,9;2885,5;2890,5;2895,4;2901,9;2922,5;2946,2;2956,4;2959,8;3,3;3,4;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5
Bevölkerung 2);Thüringen;2590,6;2421,3;2243,8;2222,1;2203,8;2188,5;2175,9;2165,3;2158;2161,8;2161;2150,1;2141,5;2131,4;2118,8;2105,3;2108,8;2116,9;2107,6;2089,5;3,2;3;2,8;2,8;2,7;2,7;2,7;2,7;2,7;2,7;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,5;2,5;2,5
Bevölkerung 2);Länder insgesamt;79973,4;81456,6;80763,5;80482,6;80284,1;80275;80385;80517,1;80757,9;81346,2;81866,7;82037,6;82156,5;82203,1;82126,3;81994,6;82529,3;83287,3;83516,6;83524;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Erwerbstätige 3);Baden-Württemberg;5175,1;5503,6;5721,3;5684;5688,9;5762,8;5846,3;5915,2;5987,5;6043,8;6122,9;6212;6297,5;6342,9;6283,5;6278,1;6352,3;6409;6415;6413,2;13,3;13,8;14;13,9;13,8;13,9;13,9;14;14;14;14;14;14;14;14;13,9;13,9;14;13,9;13,9
Erwerbstätige 3);Bayern;6060;6460,2;6703,2;6726,3;6786,5;6904,7;7021,1;7100,3;7184,4;7279,7;7398,7;7524,4;7645,5;7732,3;7682,9;7680,9;7781,7;7846,9;7869,9;7874,7;15,6;16,2;16,4;16,4;16,5;16,6;16,7;16,8;16,8;16,9;16,9;17;17;17,1;17,1;17,1;17,1;17,1;17,1;17,1
Erwerbstätige 3);Berlin;1706;1619,1;1649,6;1677,6;1697,3;1712,4;1751;1784,2;1818,3;1857,1;1910;1969,5;2022,7;2071,7;2066,2;2082,1;2152,3;2190,9;2197,4;2193,8;4,4;4,1;4;4,1;4,1;4,1;4,2;4,2;4,3;4,3;4,4;4,4;4,5;4,6;4,6;4,6;4,7;4,8;4,8;4,8
Erwerbstätige 3);Brandenburg;1191;1089,8;1063,3;1076,6;1081,8;1080,9;1083,5;1081,8;1082,6;1084,9;1099;1113,2;1123,9;1129,8;1122,8;1130;1141,6;1145,2;1146,7;1142,8;3,1;2,7;2,6;2,6;2,6;2,6;2,6;2,6;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5
